,Company,Sector,Climate_Transition_Score,Data_Coverage,Benchmark_Weight,Prior_Return,BL_Posterior_Return,Weight,Active_Weight,Dollar_Allocation
ABBV,AbbVie Inc,Health Care,62.90569787849569,1.0000000000000002,0.0021141649048625794,0.055063617816002296,0.05690065542191027,0.005738828992937305,0.0036246640880747256,5738828.992937305
CRH,CRH PLC,Materials,60.38488729275766,1.0000000000000002,0.0021141649048625794,0.11699920188454375,0.1195997772511043,0.005563855187019336,0.0034496902821567568,5563855.187019336
ULTA,Ulta Beauty Inc,Consumer Discretionary,77.72996778762891,1.0000000000000002,0.0021141649048625794,0.11497786647271718,0.1193944648985183,0.005553914289189242,0.0034397493843266627,5553914.289189242
HD,Home Depot Inc/The,Consumer Discretionary,70.49085241832779,1.0000000000000002,0.0021141649048625794,0.09598839791853758,0.09800071635333152,0.00553462623828293,0.0034204613334203504,5534626.23828293
CIEN,Ciena Corp,Information Technology,85.15467802270413,1.0000000000000002,0.0021141649048625794,0.1108276786117266,0.1117084444859271,0.005497462826900022,0.003383297922037443,5497462.826900022
NFLX,Netflix Inc,Communication Services,75.27935480698847,1.0000000000000002,0.0021141649048625794,0.08140626664764868,0.08793804529865487,0.005453796110167314,0.0033396312053047346,5453796.110167314
MET,MetLife Inc,Financials,76.89655961048217,0.9200000000000002,0.0021141649048625794,0.12368538617871404,0.12678557463859702,0.005400901592891922,0.0032867366880293424,5400901.592891922
DVA,DaVita Inc,Health Care,67.36947831574928,1.0000000000000002,0.0021141649048625794,0.07241409608502858,0.07459805330205124,0.0053189874188192725,0.003204822513956693,5318987.418819273
EIX,Edison International,Utilities,62.64731615572414,0.8000000000000002,0.0021141649048625794,0.079340791698292,0.07831097978608587,0.005276317250625198,0.0031621523457626183,5276317.250625198
FFIV,F5 Inc,Information Technology,65.55857097074488,0.44,0.0021141649048625794,0.09260051397953936,0.09632005045003929,0.0052735573850577625,0.003159392480195183,5273557.385057762
SPGI,S&P Global Inc,Financials,52.75671775095188,1.0000000000000002,0.0021141649048625794,0.09666864651045143,0.10072929272565283,0.005230207720976959,0.00311604281611438,5230207.720976959
CMCSA,Comcast Corp,Communication Services,65.77341208796224,1.0000000000000002,0.0021141649048625794,0.0805149722938255,0.08348852393564045,0.005172808656159389,0.0030586437512968097,5172808.656159389
GS,Goldman Sachs Group Inc/The,Financials,70.1467380313909,0.8000000000000002,0.0021141649048625794,0.12010163772522368,0.12308417499481418,0.005126227171826391,0.003012062266963812,5126227.1718263915
ECL,Ecolab Inc,Materials,73.3972984404586,1.0000000000000002,0.0021141649048625794,0.09849133522491975,0.10075603303199905,0.005105555964844349,0.0029913910599817695,5105555.964844349
GWW,WW Grainger Inc,Industrials,59.976764871083226,0.8000000000000002,0.0021141649048625794,0.09032481800559793,0.09112478954582832,0.0050907626813263916,0.002976597776463812,5090762.681326391
AMT,American Tower Corp,Real Estate,73.34017701995081,0.9200000000000002,0.0021141649048625794,0.06982175723192055,0.06952987482488848,0.005082644211653983,0.002968479306791404,5082644.211653983
ADBE,Adobe Inc,Information Technology,63.2502486268895,1.0000000000000002,0.0021141649048625794,0.10227524370250374,0.10953627383129791,0.005077146810697031,0.0029629819058344512,5077146.81069703
NVDA,NVIDIA Corp,Information Technology,76.97701671185467,1.0000000000000002,0.0021141649048625794,0.14209561000831397,0.14742801274168837,0.005013987323481273,0.0028998224186186938,5013987.323481273
RL,Ralph Lauren Corp,Consumer Discretionary,70.91410185552812,1.0000000000000002,0.0021141649048625794,0.12705450448496963,0.13117534310404752,0.005011733034771926,0.0028975681299093464,5011733.034771926
PGR,Progressive Corp/The,Financials,68.8229891979328,0.6500000000000001,0.0021141649048625794,0.05814549416943201,0.060171441219214125,0.004863844633788313,0.0027496797289257332,4863844.633788313
MTD,Mettler-Toledo International I,Health Care,53.062694560186245,1.0000000000000002,0.0021141649048625794,0.10171134388781841,0.10386479058408911,0.004842981738224245,0.002728816833361666,4842981.738224246
AVGO,Broadcom Inc,Information Technology,61.11165541746038,0.9200000000000002,0.0021141649048625794,0.12126914207540752,0.12441152560790326,0.004840549033471845,0.0027263841286092653,4840549.033471845
IBKR,Interactive Brokers Group Inc,Financials,76.22016438962774,0.6500000000000001,0.0021141649048625794,0.10218583835223631,0.10591585816955283,0.004816847157176947,0.0027026822523143674,4816847.157176947
LVS,Las Vegas Sands Corp,Consumer Discretionary,62.00809367845719,1.0000000000000002,0.0021141649048625794,0.11732065269259566,0.1211938737463944,0.004795916009472835,0.0026817511046102554,4795916.009472835
PRU,Prudential Financial Inc,Financials,67.03125922260797,0.8000000000000002,0.0021141649048625794,0.134307699898716,0.13744183748977262,0.004752305165556055,0.0026381402606934757,4752305.1655560555
AMGN,Amgen Inc,Health Care,74.49479394487332,1.0000000000000002,0.0021141649048625794,0.06086128195238147,0.06242767356359808,0.004705560492423685,0.002591395587561106,4705560.492423685
GILD,Gilead Sciences Inc,Health Care,68.20613344091808,1.0000000000000002,0.0021141649048625794,0.04772191546565041,0.04932656020271392,0.004681912279156155,0.0025677473742935753,4681912.279156155
